Department_Store,Branch,City,Brand,Status,Store_Type,Source_Name,WhatsApp_URL_1,WhatsApp_URL_2,Google_Maps_URL,Latitude,Longitude,Resolved_Place_Name
Central,Central,Jakarta,Mayyech,Active,Dept Store,CENTRAL GRAND INDONESIA (EAST MALL),https://wa.me/6289507899532,,https://maps.app.goo.gl/GeggVEe7qD8QZRnR9,-6.1953681,106.8204181,Grand Indonesia
Seibu,Seibu,Jakarta,Mayyech,Active,Dept Store,SEIBU GRAND INDONESIA,https://wa.me/6285779411102,,https://maps.app.goo.gl/hnt7qt9hSLLbaaGY6,-6.195462,106.8197925,Seibu Grand Indonesia
SOGO,Kota Kasablanka,Jakarta,Mayyech,Active,Dept Store,SOGO KOTA KASABLANKA LT. UG,https://wa.me/6287780743921,,https://maps.app.goo.gl/AP5KGVVwFFAunMoWA,-6.2229772,106.843111,SOGO Kota Kasablanka
SOGO,Pakuwon,Surabaya,Mayyech,Active,Dept Store,SOGO PAKUWON LT. GROUND,https://wa.me/6285704772158,,https://maps.app.goo.gl/b3bGaefo4wVbVuMCA,-7.2892488,112.6759364,SOGO - Pakuwon Mall
Partner,Aceh,Banda Aceh,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI ACEH,https://wa.me/6282316586971,,https://maps.app.goo.gl/5dFqjy3LpPAbuoy46,5.5232925,95.3638199,Vivizubedi Aceh
Partner,Banjarbaru,Banjarbaru,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI BANJARBARU,https://wa.me/6282251875138,,https://maps.app.goo.gl/RhZ51TgmNDJgXQZY9,-3.4393111,114.8490305,VIVIZUBEDI BANJARBARU
Partner,Banjarmasin,Banjarmasin,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI BANJARMASIN,https://wa.me/628999030345,,https://maps.app.goo.gl/7AQuYbBN6ubUS4Hu9,-3.3228218,114.6029635,Vivizubedi Banjarmasin
Partner,Bukittinggi,Bukittinggi,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI BUKITTINGGI,https://wa.me/62819899934,,https://maps.app.goo.gl/wb5akkqUjNNQkMWp8,-0.3033909,100.3691986,Vivi Zubedi Bukittinggi
Partner,Jambi,Jambi,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI JAMBI,https://wa.me/6289678825230,,https://maps.app.goo.gl/oTpt9V7fUigyDw2G7,-1.6164516,103.5869992,VIVIZUBEDI JAMBI
Partner,Lampung,Bandar Lampung,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI LAMPUNG,https://wa.me/6282179226860,,https://maps.app.goo.gl/FeEaDU6YNGkte6yD9,-5.4206444,105.2525193,BUTIK VIVIZUBEDI LAMPUNG
Partner,Makassar,Makassar,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI MAKASSAR,https://wa.me/6285141705180,,https://maps.app.goo.gl/1BpsxwVsJh6axyKv6,-5.1583648,119.3945571,VIVI ZUBEDI MAKASSAR
Partner,Medan,Medan,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI MEDAN,https://wa.me/6281260388892,,https://maps.app.goo.gl/rBzei1XzJizudHxt6,3.582209,98.6715761,VIVIZUBEDI MEDAN
Partner,Padang,Padang,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI PADANG,https://wa.me/6281277286621,,https://maps.app.goo.gl/u2zaQPwWpccEWn3R7,-0.9342203,100.3542596,Vivi Zubedi Padang
Partner,Pekanbaru,Pekanbaru,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI PEKANBARU,https://wa.me/6281261352727,,https://maps.app.goo.gl/zAcsLme2SoushrzN9,0.4760721,101.4263397,Butik Vivizubedi Pekanbaru
Partner,Samarinda,Samarinda,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI SAMARINDA,https://wa.me/6282244786969,,https://maps.app.goo.gl/hjhgDwVNfMqWuZxh9,-0.4753879,117.1474867,VIVIZUBEDI SAMARINDA
Partner,Yogyakarta,Yogyakarta,VIVI ZUBEDI,Active,Partner,VIVIZUBEDI YOGYAKARTA,https://wa.me/6281368848702,,https://maps.app.goo.gl/WJisEGB2djBDNHMH6,-7.778489,110.3734733,VIVIZUBEDI YOGYAKARTA
